"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"public order offense, other","public order","institutional","community safety",0.2,"occured",0.1,"Refuse To Surrender Regist Plates"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Driving While Operating Privilege Sus/Revoke"
"financial crimes","property","institutional","financial or economic",0.6,"occured",0.1,"Unentitled Reimbursement"
"statutory rape, conspiracy","violent","individual","emotional or psychological",0.9,"conspiracy",0.1,"Criminal Solicitation Statutory Sexual Assault:  11 Years Older"
"fraudulent drug offense","public order","societal","financial or economic",0.7,"occured",0.2,"Recipient Prohibited Acts-False Stmt"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"No Jaywalking; Excpt On ""walk"" Sig At Intersection"
"public order offense, other","public order","community","community safety",0.2,"occured",0.1,"Fail To Obtain Emission Cert"
"aggravated assault","violent","individual","physical",1,"occured",0,"Aggravated Assault"
"weapons offense","public order","community","community safety",0.6,"occured",0.3,"Deliver Firearm After 48 Hours Elapsed"
"armed robbery, conspiracy","violent","individual","physical",0.9,"conspiracy",0.1,"Criminal Conspiracy Aiding Robbery-Threat Immed Ser Injury"
"other court offense","public order","community","community safety",0.2,"occured",0.3,"Fail To Comply License Restrict"
"kidnapping","violent","individual","physical",0.9,"occured",0.1,"Unlawful Restraint of Minor/Not Parent - Risk of Bodily Injury"
"financial crimes conspiracy","property","institutional","financial or economic",0.7,"conspiracy",0.2,"Conspiracy Unentitled Reimbursement"
"public order offense, other","public order","community","community safety",0.1,"occured",0.6,"Panhandling"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Fail Obtain Insp Of Veh Transp Sch Ch"
"extortion/threat","violent","community","emotional or psychological",0.8,"occured",0.1,"Terroristic Threats"
"theft, value unknown","property","individual","financial or economic",0.5,"occured",0.3,"Retail Recorded Device"
"weapons offense","public order","community","community safety",0.7,"occured",0.15,"Person Not To Possess/Use Firearms - Fugitive"
"statutory rape","violent","individual","emotional or psychological",1,"occured",0,"Statutory Sexual Assault"
"hit and run with bodily injury","violent","individual","physical",0.9,"occured",0.3,"Accidents Involving Death/Personal Injury"
"disorderly conduct offense","public order","community","community safety",0.3,"occured",0.05,"Loud, Disturbing, Unnecessary Noise"
"public order offense, other","public order","community","community safety",0.2,"occured",0.6,"Cross Bet Contro Inters Urban Area"
"simple assault, conspiracy","violent","individual","physical",0.6,"conspiracy",0.2,"Criminal Conspiracy Aiding Simple Assault"
"commercialized vice","public order","community","community safety",0.2,"occured",0.2,"Gambling prohibited in public places"
"offense against morals/decency","public order","community","community safety",0.9,"occured",0.1,"Animal Fighting - Owns/Possess/Sell Animal for Fighting"
"offense against morals/decency","public order","community","community safety",0.7,"occured",0.2,"Animal Fighting Paraphernalia"
"offense against morals/decency","public order","community","community safety",0.8,"occured",0.1,"Animal Fighting - Amusement or Gain"
"public order offense, other, conspiracy","public order","community","community safety",0.8,"conspiracy",0.2,"Conspiracy Animal Fighting - Owns/Possess/Sell Animal for Fighting"
"offense against morals/decency","public order","community","community safety",0.7,"occured",0.2,"Animal Fighting - Knowingly Permit Under Control"
"kidnapping","violent","individual","emotional or psychological",1,"occured",0,"Kidnapping of Minor - Ransom/Hostage"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Persons Not To Possess/Own Firearm"
"vehicular manslaughter","violent","individual","physical",1,"occured",0.05,"Homicide by Vehicle While DUI"
"destruction of property","property","individual","financial or economic",0.7,"occured",0.15,"Remove/Render Inop Reg'd Eqmt"
"forgery/fraud","property","societal","financial or economic",0.4,"occured",0.3,"Rec'd Sus'd Fict Alt'd Etc Drivers Lic"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Fail To Yield In Constr"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.4,"Use Of School Bus/School Veh Plates"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.2,"Exhibit Another Dr Lic"
"traffic offense, minor","criminal traffic","individual","community safety",0.6,"occured",0.15,"Meeting/Overtaking School Bus"
"other court offense","public order","community","community safety",0.4,"occured",0.1,"False Swearing-Mislead Public Servant"
"forgery/fraud","property","institutional","financial or economic",0.6,"occured",0.1,"Unsworn Fals Auth Forged Doc"
"liquor law violation","public order","community","community safety",0.2,"occured",0.15,"No Beer, Drugs, Alcoholic Bev. In City Parks"
"hit and run with bodily injury","violent","individual","physical",0.85,"occured",0.3,"Accident/Serious Bodily Injury"
"disorderly conduct offense","public order","community","community safety",0.1,"occured",0.1,"Loud,disturbing And Unnecessary Noise Prohibited"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.05,"Exceed 55 MPH In Other Loc By 42 MPH"
"other property offense","property","institutional","financial or economic",0.3,"occured",0.6,"Display Unauth Cert Of Inspect"
"forgery/fraud","property","societal","financial or economic",0.6,"occured",0.1,"Washing Vehicle Titles"
"forgery/fraud","property","institutional","financial or economic",0.7,"occured",0.1,"Make False Appli For Title Reg"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.3,"Criminal Conspiracy Aiding Theft Property Lost Etc By Mistake"
"public order offense, other","public order","societal","community safety",0.1,"occured",0.2,"Lic To Engage In Business - Lic Required"
"forgery/fraud","property","individual","financial or economic",0.5,"occured",0.4,"Make False Promise Of Character"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.3,"License suspended or revoked"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Forgery-Utters Forged Writing"
"traffic offense, minor","criminal traffic","individual","community safety",0.3,"occured",0.1,"Exceed 25 MPH Residence Dist. By 12 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.15,"Viol Use Limited Access Hwy"
"simple assault","violent","individual","physical",0.8,"occured",0.1,"Simple Assault - Grading, Victim Under 12 Defendant 18 or older"
"driving under the influence of drugs","dui offense","community","community safety",0.9,"occured",0.05,"DUI: Controlled Substance - Schedule 2 or 3 - 3rd Offense"
"other court offense, conspiracy","public order","institutional","community safety",0.7,"conspiracy",0.15,"Conspiracy Intim Witness/Victim False/Misleading Testimony"
"extortion/threat, conspiracy","violent","individual","emotional or psychological",0.7,"conspiracy",0.15,"Conspiracy Intimidate Witness/Victim - Withhold Testimony"
"contempt of court/violate court order, conspiracy","public order","individual","emotional or psychological",0.6,"conspiracy",0.3,"Conspiracy Intim Witness/Victim Elude/Evade/Ignore"
"obstruction/resisting, conspiracy","public order","individual","emotional or psychological",0.6,"conspiracy",0.3,"Conspiracy Intim Wit/Vic - ABS Fr Lgl Pro"
"violent offense other, conspiracy","violent","individual","emotional or psychological",0.8,"conspiracy",0.1,"Conspiracy Retaliation Against Witness or Victim"
"conspiracy to commit murder","violent","individual","physical",0.8,"conspiracy",0.5,"Criminal Conspiracy Engaging Conspiracy"
"forgery/fraud","property","individual","financial or economic",0.85,"occured",0.1,"Fraudulent Assign Cert Title Sec Int Cert"
"offense against morals/decency","public order","community","community safety",0.7,"occured",0.2,"Animal Fighting - Pay Admission/Attends"
"public order offense, other, conspiracy","public order","societal","community safety",0.7,"conspiracy",0.3,"Conspiracy Corrupt Organizations - Employee"
"public order offense, other","public order","community","community safety",0.3,"occured",0.25,"Improp Use Handicapped Veh"
"financial crimes","property","societal","financial or economic",0.6,"occured",0.15,"Dec Bus Pract - False/Mis Stat Pub"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Prohbtd Condct; Unreasonable Noise/Lewd Language"
"distribution, drug unspecified, conspiracy","drug","community","community safety",0.6,"conspiracy",0.15,"Conspiracy Manuf Etc Controlled Substance"
"contempt of court/violate court order","public order","community","community safety",0.7,"occured",0.15,"Intentionally/Knowingly Fails to Relinquish Firearm/Weapon to Sheriff Required by Order"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Illegal Park Between Divided Hwy"
"traffic offense, minor","criminal traffic","individual","community safety",0.5,"occured",0.2,"Safety Restraints - child under 4 years"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improp Wiper"
"public order offense, other","public order","community","community safety",0.5,"occured",0.4,"Disruption of Service"
"public order offense, other","public order","societal","community safety",0.2,"occured",0.1,"Carry False Identification Card (Minor)"
"public order offense, other","public order","community","community safety",0.3,"occured",0.6,"Violate Safety Glass"
"bribery/conflict of interest","public order","institutional","financial or economic",0.8,"occured",0.25,"Corrupt Employee, Agent, Fiduciary"
"public order offense, other","public order","community","community safety",0.4,"occured",0.5,"Loiter/Prowl In Public W Intent; Controlled Subst"
"armed robbery, conspiracy","violent","individual","physical",0.9,"conspiracy",0.05,"Criminal Conspiracy Engaging Robbery-Inflict Threat Imm Bod Inj"
"aggravated assault, attempted","violent","individual","physical",0.9,"attempted",0.1,"Criminal Attempt Aggravated Assault - Attempts to cause or causes BI to designated individuals"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.6,"Operation On Streets And Highways"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Unlawful Operate Snow/Atv In Careless Way"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Traffic Control Signals"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Possess Explosive/Incen Material"
"arson, attempted","property","individual","physical",0.9,"attempted",0.1,"Criminal Attempt Arson-Inhabited Building Or Struct"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Illegal Park On Sidewalk"
"fraudulent drug offense","drug","individual","community safety",0.7,"occured",0.2,"Sell Controlled Substance W/O Label"
